Customer_ID,First_Name,Last_Name,Email,City,Country
C1000,Linda,Ayala,hamiltonandrew@yahoo.com,Barnestown,China
C1001,Sarah,Turner,jacksonthomas@sullivan.info,Port Levi,Kazakhstan
C1002,Krista,Jones,hannah64@gmail.com,South Michael,Bangladesh
C1003,Kelly,Krueger,alexanderrodriguez@horton.com,Moodyburgh,Central African Republic
C1004,Rachel,Moore,pwong@graham.net,New Sophia,Azerbaijan
C1005,Jennifer,Bailey,turnersteven@henderson-wilson.com,North Allen,Greenland
C1006,Mary,Rivera,cruiz@hotmail.com,Hernandezmouth,Egypt
C1007,Travis,Montgomery,kennethgallegos@williams-smith.biz,North Tyler,Papua New Guinea
C1008,Justin,Goodwin,mmclaughlin@hotmail.com,West Maria,United Arab Emirates
C1009,Ashley,Reed,freemantodd@hotmail.com,Jeremyfort,Nauru
C1010,Martin,Sellers,jenniferrice@yahoo.com,Reynoldsburgh,Lao People's Democratic Republic
C1011,Andrew,Blackwell,adamsdeborah@yahoo.com,Costaton,Senegal
C1012,Robert,Wilson,pdean@west-graham.com,Suzanneland,Mali
C1013,Nathaniel,Johnson,taylorkim@hotmail.com,Janiceport,United States Minor Outlying Islands
C1014,Patricia,Robertson,sandra72@sharp-myers.biz,East April,Luxembourg
C1015,Katelyn,Phillips,kmarsh@hotmail.com,Larachester,Saint Helena
C1016,Erica,Miller,hannah17@thompson.org,Smithport,Bouvet Island (Bouvetoya)
C1017,Wesley,Ayala,leonsherry@yahoo.com,West Crystal,Croatia
C1232,Christian,Booker,rodriguezmatthew@hotmail.com,Brookebury,Jersey
C1018,Lori,Clark,jasonwilliams@gmail.com,Carrberg,Liechtenstein
C1019,Christy,Jennings,michael22@hotmail.com,Matthewstad,Russian Federation
C1020,Christine,Poole,morgandaniel@martinez.info,West Annette,Ukraine
C1021,Natalie,Graham,kristen08@yahoo.com,Brownmouth,Svalbard & Jan Mayen Islands
C1022,Andrea,Parks,mccarthysara@lloyd-estes.com,Robertborough,Greece
C1023,Mitchell,Johnson,colonbobby@jackson.com,Haleymouth,Burundi
C1024,Christopher,King,jessicaerickson@hotmail.com,Buchananside,Morocco
C1025,Roberto,Bartlett,mooremichael@gmail.com,Barbaramouth,Zambia
C1026,Jerry,Sullivan,scottperry@sanchez.com,East Tammy,Micronesia
C1027,James,Wilson,christopherwatson@yahoo.com,Lake Brittany,Yemen
C1028,Nathan,Brown,edwardmolina@yahoo.com,Port Lori,United States Virgin Islands
C1029,Amber,Charles,lauriegutierrez@villanueva-crane.net,Elliotttown,Malaysia
C1030,Jonathan,Roberts,ramoskayla@hotmail.com,Williamville,Ecuador
C1031,Lisa,Campbell,morganrichard@hamilton.com,Christensenmouth,Bulgaria
C1032,Jane,Short,levinetina@liu.net,New Travisview,Canada
C1033,Christopher,Robinson,regina04@hotmail.com,South Perryborough,Antarctica (the territory South of 60 deg S)
C1034,Rebecca,Atkinson,ngriffin@weber.com,Jenniferstad,Sudan
C1035,Mark,Evans,nicolemiller@hotmail.com,South Johntown,Peru
C1036,Traci,Camacho,vhardy@gmail.com,Michaelfort,Sao Tome and Principe
C1037,Tina,Smith,christopherarnold@hotmail.com,Port Joseph,Bolivia
C1038,Brenda,Williams,andrewzamora@hotmail.com,Toddmouth,Burkina Faso
C1039,Jennifer,Kelley,marilyntorres@yahoo.com,Port Lisa,South Africa
C1040,Daniel,Figueroa,skinnerjordan@gomez.com,New Cassie,Haiti
C1041,Christine,Whitehead,ashley07@yahoo.com,Jessicaborough,Indonesia
C1042,Brenda,White,michaelmitchell@armstrong.com,Johnfurt,Saint Lucia
C1043,Dawn,Wilson,zachary35@garcia-dawson.biz,Haynestown,Somalia
